road_name,edge_id,length_meters,avg_deviation,max_deviation
Park Avenue_10,176399846->285732092,75.23931767490213,0,0
Olney Road_2,769203760->769203761,74.51620705635702,0,0
Lambton Road_12,286119577->1967667746,74.12500064986544,0,0
Gloucester Avenue_1,285923224->285923234,73.96837381517699,0,0
Lambton Road_18,367125594->2608920679,73.62513166890228,0,0
Glebe Road_6,285732082->4572931369,73.57184108924483,0,0
Park Avenue_20,903719287->903719288,73.47733020515,0,0
Cross Street_1,1843667531->1843667533,73.4379308598952,0,0
Park Avenue_1,176399672->903719325,73.25182092862815,0,0
Turton Road_3,359020680->362011404,72.88593725660053,0,0
Dan Close_1,1843667262->1843667290,72.85322508814556,0,0
Freeman Street_2,1840020259->4364680700,72.82398568104202,0,0
Orchardtown Road_3,276839882->6144518497,72.54776926605568,0,0
Bronte Road_2,367125595->1862834363,72.27902257550762,0,0
Bailey Street_4,285732205->9156824351,72.13017141643398,0,0
Warren Avenue_1,1843667472->1843667475,71.77740453086454,0,0
Wickham Road_4,285923663->285923664,71.49407007300083,0,0
Kyle Road_1,286119437->286119679,71.22060051520928,0,0
Teralba Road_3,286118925->769203723,70.8235905825605,0,0
Hobart Road_2,285922515->285923652,70.71555798242571,0,0
Kullaiba Road_12,3393434596->11548130693,70.56692014429704,0,0
Brisbane Water Road_3,285732108->285732109,70.28317753559035,0,0
Greta Road_3,285923804->1843667393,70.23840481823844,0,0
Buxton Lane_1,4572931369->4572931370,68.61639136448441,0,0
Bryant Street_1,272223115->272223174,68.23719354999672,0,0
Curley Road_1,1839861573->1839861577,67.45161054966047,0,0
Unnamed Road_13,1956532188->1956536851,66.71058151643064,0,0
Bridges Road_15,1839861566->1956536856,66.48439414432534,0,0
Wickham Road_2,285923542->6027609580,66.3117123414131,0,0
Lambton Road_13,337354143->3743489802,66.25398766671042,0,0
Wood Street_2,285732211->285732216,66.17754587362552,0,0
Hobart Road_21,1843667352->1843667366,65.91886546255867,0,0
Hay Road_1,769203722->769203723,65.84779320991,0,0
Cross Street_2,1843667533->1843667534,65.84042788297958,0,0
Bailey Street_6,285732226->8386558649,64.69253296746692,0,0
Poitrel Street_2,1843667460->1843667465,64.06420774945882,0,0
Lambton Road_24,1839861566->1956536838,62.954251130475164,24.66865931804305,52.03684380304294
Lambton Road_14,337354143->367126917,61.14733729041038,0,0
Glebe Road_10,1436939673->2375001656,61.04347117851514,0,0
Rosmar Street_1,285922956->285922987,60.97781397929067,0,0
Hobart Road_9,285923206->285923805,60.731899777385706,0,0
Victoria Street_5,285732076->1436939676,60.47784387216222,0,0
Bala Road_1,286118925->769203705,60.33836010277153,0,0
Glebe Road_12,1843667522->2375001658,59.27453917853002,0,0
Fay Avenue_1,276839898->1840020266,57.580360580829414,0,0
Lexington Parade_2,249343640->2833593903,57.57480653516758,0,0
Edden Street_2,285732228->1840020284,57.01279914502993,0,0
Wood Street_3,285732211->285732230,56.30864510415824,0,0
Fletcher Street_6,285732129->285732212,56.25892943696967,0,0
Sixth Street_2,285732229->1840020286,56.06652090009503,0,0
Victoria Street_10,285732087->390998555,56.0373034321207,0,0
Hobart Road_13,337344521->337344524,55.90009133303158,0,0
Victoria Street_9,285732084->390998555,55.22797736844838,0,0
Birdwood Street_1,276839788->276839791,55.173447203943624,0,0
Avondale Road_1,285923652->285923655,55.10119262746715,0,0
Aldyth Street_1,276839898->1840020257,54.98362474737723,0,0
Saint James Road_3,284966224->286118933,53.360820949780404,0,0
Mandalong Road_1,272224402->286119087,52.683812831916974,0,0
Noel Avenue_2,176399672->418606411,51.89678972853081,0,0
Chiplin Street_3,1843667350->1843667358,51.895235473088235,0,0
Chiplin Street_2,1843667346->1843667350,51.54805516783496,0,0
Greta Road_4,285923805->1843667393,51.419223836028635,0,0
Amiens Place_1,285907006->1848248267,51.37306343794155,0,0
Orchardtown Road_1,276839881->6144518511,50.195958352987816,0,0
Regent Street_5,1843667384->1843667390,50.06661969783871,23.673617585395196,47.09823131368407
Lambton Road_16,359020704->362011404,50.000913537542395,0,0
Fay Avenue_4,12446969779->12446969783,49.71893076129787,0,0
Dora Road_1,769203719->769203720,49.69710978595856,0,0
Kyle Road_2,286119679->1839861619,49.48950895344362,0,0
Third Street_3,285732248->2108084123,48.22038983316301,0,0
Lambton Road_23,1839861563->6134998010,47.21678166108828,0,0
Hobart Road_16,337344529->6134998010,46.98704903296375,0,0
Saint James Road_4,284966224->286119052,46.9251408344508,0,0
Park Avenue_5,176399696->8530772748,46.3736616028327,0,0
Newton Street_1,286119006->1839861581,46.28317005820571,0,0
Howe Street_2,285922945->6237659050,46.03180942764845,0,0
Unnamed Road_8,355007422->12038672648,45.953951982077164,0,0
Unnamed Road_7,355007422->12038672642,45.83390693592028,0,0
Park Avenue_16,286098496->903719290,45.13413591578577,0,0
Sketchley Parade_1,286118961->2063026294,43.664484005017925,0,0
Lambton Road_26,1839861567->1956536851,43.586586544453624,0,0
Fletcher Street_4,285732113->285732209,41.19812148726705,0,0
Turton Road_8,1839861560->1839861563,41.12867925456964,0,0
Teralba Road_7,355013052->769203760,40.69370462597246,0,0
Railway Road_2,285923568->1843667319,39.55197195939943,0,0
Hobart Road_12,285923805->367128376,39.49287924820283,0,0
Longworth Avenue_3,286119541->1843667458,39.488393172095144,0,0
Bullecourt Circuit_2,285907000->285907338,38.780368060154075,0,0
Adina Place_1,1843667369->2688005561,38.40186364938905,0,0
Railway Road_3,285923579->285923587,38.388316420250305,0,0
Park Avenue_2,176399672->246011243,38.35188016005317,0,0
Wickham Road_3,285923587->285923663,38.21783330540592,0,0
Park Avenue_11,246011243->903719287,37.56521618305251,0,0
